	발행연월	록키 워드 
59	2005	쇼트트랙 스피드 스케이팅 기록 순위 경기 특성 경기 전략 치중 경향 스피드 스케이팅 스케이트 장비 기술 특성 적용 스피드 스케이팅 쇼트트랙 스피드 스케이팅 스트로 푸시 오프 글 라이 제자리 동작 구성 푸시 오프 글 라이 동작 기술 주 출발 구간 직선 곡선 가지 구분 구간 특성 구간 기술 구사 본문 직선 주로 곡선 주 전문 기술 동작 특성 이해 스포츠 현장 코치 선수 훈련 자료 활용 경기력 향상 도움 기대 추후 시 력 측정 운동 역학 기술 정보 분석 필요 판단 
60	2005	
61	2005	논문 휴대 인터넷 통신 네트워크 구조 변경 커버 리지 확대 음영 지역 해소 핸드오버 성능 향상 논문 마이크로 중심 거리 전파 감 쇄 통신 환경 질 QAM QAM 결과 면 통신 품질 질도 휴대 인터넷 대부분 지역 환경 지역 사용자 대부분 지역 휴대 인터넷 사용 결과 사용자 불만 통신 환경 문제점 해결 적용 셀 커버 리지 확대 통신 환경 향상 핸드오버 호 블록 킹 성능 향상 목적 
62	2005	-1 -2 
63	2005	
64	2005	
65	2005	
66	2005	
67	2005	
68	2005	
69	2005	
70	2005	
71	2005	
72	2005	
73	2005	
74	2005	
75	2005	
76	2005	
77	2005	비만 아동 주간 건강 교육 체육 특기 적성 활동 건강 상태 체지방 혈 중 지질 성분 분석 차이 검증 목적 대상자 체지방 이상인 남자 초등학생 명 대상 그룹 건강 교육 적용 주당 -2 회 체육 특기 적성 활동 참여 명 그룹 건강 교육 적용 주당 -4 회 체육 특기 적성 활동 참여 명 그룹 건강 교육 참여 체육 특기 적성 활동 참여 명 구분 자료 처리 통계 프로그램 이용 반복 측정 이원 변량 분석 처리 결과 신체 기능 신체 역할 제한 항목 그룹 그룹 증가 그룹 차이 사회 기능 감정 역할 제한 정신건강 항목 그룹 그룹 그룹 유의 차이 체지방 그룹 감소 그룹 그룹 차이 혈 중 지질 성분 콜레스테롤 중성 지방 그룹 그룹 감소 그룹 차이 콜레스테롤 콜레스테롤 항목 그룹 그룹 그룹 모두 유의 차이 이상 건강 교육 체육 특기 적성 활동 초등학생 신체 건강 비만 예방 도움 교육 활동 학교 자리 행정 제도 요구 바탕 체육 특기 적성 활동 활성 판단 
78	2005	
79	2005	
80	2005	
81	2005	현대 사회 다원 사회 각종 영역 분야 경계 상황 상황 이해 수용 개방 텍스트 구조 상호 텍스트 환경 예술 수용 자와 상호작용 이해 상호 텍스트 특성 바라 환경 예술 장르 장르 간의 혼합 이질 시간 간의 혼합 요소 수용자 체험 상호작용 수용자 예술 작품 완성 과정 참여 개인 경험 상황 의미 개념 환상 특수 시공간 표현 방법 상호텍스트성 특성 설정 체험 요소 특성 작품 특징 분석 방법론 사용 환상 특성 이벤트 상황 우연 개업 사건 발생 전개 비 물질 감각 수용자 공 각각 체험 유도 전략 사용 맥락 중 요시 특수 시공 연속체 변화 반영 프로세스 위주 특정 시공간 표현 방법 제안 결과 환경 예술 시각 현존 의지 형이상학 장식 차원 수용자 존재 양태 자리 삶 양분 공급 인식 전환 환경 예술 일종 텍스트 차원 텍스트 텍스트 삶 창조성 유일 대신 상호텍스트성 사이에서 실천 창조성 영역 간의 접목 체험 수용자 측면 허용 다원 측면 생성 개념 진행 중 작품 작품 
82	2005	
83	2005	체험 지각 인식 
84	2005	일상 건축 프로세스 장 다이어그램 
85	2005	입지 설명 사건 이해 발전 환경 가치판단 
86	2005	
87	2005	역사 건축물 디자인 오리 엔 티 드 리노 베이 션 양면 
88	2005	대지 현상 지각 개념 표현 체험 
89	2005	
90	2005	영미 관광 지리학 분야 경향 문헌 법 통시 고찰 시도 논문 목적 영미 관광 지리학 흐름 접근법 주제 중심 고찰 동향 파악 한국 관광 지리학 시사점 도출 영미 관광 지리학 흐름 변화 지리학 패러다임 변화 밀접 관련 동향 변화 구분 경험주의 접근법 논리실증주의 접근법 인본주의 접근법 비판주의 접근법 가지 분류 주제 경험주의 접근법 관광 지역 묘사 현황 설명 논리실증주의 접근 분석 진화 인본주의 접근 관광객 행태 문제 비판주의 접근 관광 상품 관광객 시선 영미 관광 지리학 경향 가치중립 응용 지리학 가치 지향 비판주의 경향 관광 산업 성장 지리학 관광 밀접 연관 영미 관광 지리학 자 활동 인해 관광 지리학 성장 예상 
