ID	발행연월	록키 워드 
19	2015	목적 제주 신화 전통 지금 재현 양상 주목 획득 경관 변화 탐라 신화 공원 제주 돌 문화공원 신화 거리 신화 역사 공원 설립 취지 조성 과정 분석 신화 고향 제주도 자청 비 백주 설문대할망 명 신 삼성혈 혼 인지 산방산 한라산 개 신화 기원 역사 설명 정도 신화 행정 당국 민간 전승 신화 테마 축제 행사 개최 공원 박물관 설립 제주 문화 정체성 표상 제주 신화 전통 행정 당국 외부 자본 지역민 외부 시선 개발 획득 경관 변화 초래 이제 제주특별자치도 민 관이 협력 개발 정책 투기 자본 유입 지양 제주 자연 역사 문화 지역민 삶 유리 제주 정체성 표상 다각 방법 모색 시기 제주도 신화 로컬 경관 정체성 
20	2016	상호작용 기반 소리 미술 구현 1960년대 후반 활동 대표 세대 소리 미술가 막스 뉴 하우스 동시대 작가 자 카디프 대표 작업 중심 뉴 하우스 대표 세대 소리 미술가 1960년대 후반 공공장소 소리 설치 퍼포먼스 소리 상호 관계 장소라 주제 개진 뉴 하우스 소리 경험 방식 제시 소리 미술 지속 탐구 작업 미술사 상대 주목 특정 미술 범주 논의 뉴 하우스 작업 소리 매체 활용 동시대 작가 카디프 작업 소리 미술 형태 특징 고찰 미술사 계보 뉴 하우스 소리 상호작용 상황 관람자 제시 소리 풍경 집중 퍼포먼스 진행 공공장소 소음 발생 재구성 방식 카디프 영화 시나리오 연출 가상공간 청각 구현 참여자 실제 가상공간 복합 시공간 경험 카디프 작업 청각 지각 소리 구현 구축 사유 경험 야기 인해 소리 미술 상호 관계 수반 실제 층위 가상공간 구축 경험 방식 점 막스 뉴 하우스 사운드 아트 사운드 스케이프 자 카디프 특정 
21	2016	관광 스토리텔링 인식 관광객 만족 
22	2013	문화예술 대표 홍대 지역 문화 대상 현상학 접근 환경 설계 계획 측면 물리 환경 요인 이용 행태 이미지 형성 요인 만족도 주 야간 분석 현대 문화 의미 특성 정량 방법 평가 분석 결과 도시 디자인 형성 요인 요인 간 상호작용 형성 인간 문화 행태 중심 형성 요인 만족도 차이 도심 삶의 질 문화 조성 인식 계기 주 야간 형성 요인 이용자 만족 특성 반영 도시 환경 조성 방안 제안 의의 
23	2012	우대 서촌 북리 백운동 천 옥류동천 필운대 인왕산 무안군 방 인덕 궁 준수 방 잠 장의 궁 영 견 방 궁 통인동 세종 탄생지 
24	2014	커뮤니티 가상 커뮤니티 소 네트워크 서비스 페이스북 라 빌 레 공원 
25	2015	광주 예술 거리 생활 주체 경험 관점 거리 형성 과정 분석 목적 예술 거리 지리 특성 변화 광주 예술 흐름 경제 정치 상황 검토 예술 거리 지정 이전 역사 정리 다음 예술 거리 파악 선행 이론 바탕 물리 행태 의미 요소 도출 형성 물리 요소 행정 권력 요소 생활 주체 생각 요소 종합 파악 행태 요소 생활 주체 거리 개인 미시 역사 과정 심층 인터뷰 파악 마지막 의미 요소 의미 경합 장 생활 주체 경험 예술 거리 역사 거리 인식 설문 조사 파악 시사점 생활 주체 인식 관점 예술 거리 진단 거리 정체성 확립 통합 브랜드 개발 생활 주체 네트워크 파트너십 발 정책 필요 점 생활 주체 광주 예술 거리 문화 거리 
26	2013	목적 삼청동 디자인 서울 거리 마케팅 관점 특색 조성 기초 자료 시사점 제공 형용사 사용 도출 물리 활동 개인 측면 형성 요소 만족도 조사 형성 요소 관계 분석 기술 통계 분석 요인 분석 회귀분석 실시 요인 분석 결과 예술 활기 매력 성 의 개 요인 도출 요인 군 설명 력 전체 종 요인 중 설명 력 전체 만족도 종속 변수 설정 요인 독립 변수 설정 다중 선형 회귀분석 실시 결과 예술 개 인자 요인 분석 마케팅 특화 가로 삼청동 디자인 서울 거리 
27	2016	논문 도시 빈곤 이면 작용 노동 시장 과정 일자리 미스 매치 실태 고찰 효과 기반 노동 시장 개입 고려 지역 노동 시장 지역 분석 광역 대도시 지역 노동 시장 성과 실업 변화 노동력 수요와 공급 불균형 근로 조건 미스 매치 역동 상호작용 결정 결정 과정 지역 노동 시장 차별 고찰 우리나라 대도시 고용 교외화 과정 미스 매치 인적 자본 요구 수준 취업 기회 산업 선택 특성 노동 집단 차별 영향 초래 점 분석 결과 과정 개별 지역 노동 시장 고유 과정 작동 바 도시 빈곤 일자리 미스 매치 노동 시장 과정 연계 문제 해결 노동 시장 개입 추진 노동 시장 기반 기반 정책 필요 도시 빈곤 일자리 미스 매치 기반 정책 광역 대도시 
28	2013	구현 공공 
29	2013	인과관계 장 소성 집단 의미 개인 애착 복합 토지 개발 
30	2011	도시 광장 정체성 
31	2012	장 소성 패션 이미지 홍대 지역 
32	2015	글 초점 대개 작품 특정 일반 의미 의의 부여 점 접점 대상 개별 논의 의문 출발 글 송순 면앙정가 대상 실제 텍스트 방식 조직 송순 자연 이상향 코스모스 임 바탕 면앙정가 토 필리아 초점 작품 분석 과정 구체 지명 구상 표현 집중 검토 지속 바람 순환 시간 관념 점 마지막 담양 면앙정 유기 관계 망 작품 형성 심미 자질 관계 망 논의 가사 송순 면앙정가 면앙정 담양 지역 문학 
33	2013	도시 삶 직결 일상 삶 터 일상 문화 총체 산물 재현 대상 도시 노후 주거 지역 고유 역사 서민 일상 삶 경제 정치 시각 광주광역시 북구 중흥동 와우산 일대 도시 노후 주거 지역 특성 경관 유지 으 논문 지역 사례 연구 일상 문화 간 밀접 관계 형성 요소 과정 도시 노후 주거 지역 의미 가치 도출 와우산 일대 조선 시대 양 기반 역사 가치 구릉지 지형 주거 지역 환경 근현대 서민 주거 지역 으 골목 텃밭 경관 보유 골목 기반 서민 일상 도출 도시 노후 주거 지역 소통 배려 인간 삶 비정 형성 문화 다양성 환경 인간 공존 조화 거주 민 공동체 일상 장소라 점 일상 문화 관점 일상 도시 노후 주거 지역 
34	2011	문 래 창작 촌 창조 네트워크 창조성 
35	2011	일본 한인 타운 오사카 이쿠 쿠 지역 드 과거 이주 집단 정착지 이주 목적 삶 방식 뉴커머 한인 이주자 변화 자본주의 경제 글로벌 국가 이주 증가 영토 관점 영토 관점 조명 이주자 등장 한인 타운 성격 한인 타운 구성 대 집단 드 뉴커머 일본인 집단 상정 상호 간 관계 정체성 형성 로컬 글로벌 연동 성격 로컬 주민 이주 주체 삶 현장 자리 현장 상호 간 배타 갈등 장 우호 공생 관계 도모 삶 터전 코리아타운 로 컬리 티 영토 디아스포라 정체성 정치 
36	2014	포스트 모던 전시 문화 테크노 러 지의 급속 발달 도시인 시 지각 방식 근본 전환 테크노 러 지의 발달 매체 세계 도시인 감성 촉발 문화 분위기 감응 공유 즐거움 미학 촉발 기술 문명 삶 도시 시공간 이미지 감각 실험 도시인 시 지각 경험 지평 확장 촉발 흐름 포스트 모던 전시 문화 이미지 전시 문화 분위기 분위기 실험 도시인 감각 시 지각 방식 문화 여과 장치 문화 분위기 전환 주목 헤테로 토피아 실험 도시인 근대 공감각 봉합 단절 일상 심미 체험 헤테로 토피아 시 지각 방식 잠재 촉발 회복 가동 문화 분위기 전환 주목 이미지 문화 분위기 헤테로 토피아 포스트 모던 감각 조건화 문화 여과 장치 전시 문화 감각 봉합 포스트 모던 감각 인간 
37	2016	근대 도시 경성 문학 재현 의미 본고 염상섭 무화과 강점기 도시 경성 고찰 고찰 방법 에드워드 제시 요소 물리 환경 인물 활동 의미 장 소감 항목 점검 배경 가정집 일터 규율 착시 무화과 인물 집 유치장 병원 백화점 극장 대조 인물 집 행복 가정 감 일터 자아실현 감 성취감 일터 신문사 인물 일 눈치 돈 골몰 모습 일탈 탐닉 경성 극단 구획 대조 장 소감 유치장 극장 보니 인물 경성 현실 염상섭 무화과 표현 소외감 감정 조선 일제 강점 작업 비판 도시 식민지인 소외 의식 망국 고도 식민지 근대화 표본 서울 작가 서울 감정 표현 염상섭 무화과 장 소감 물리 환경 인간 활동 의미 
38	2014	교외 도시 부재 이미지 상품 
39	2013	근대 서울 숲 인공 조성 공원 도시 배치 주변 누락 서울 숲 도시 생활 피로 치유 공공 인식 이미지 서울 숲 범죄 풍기 문란 빈곤 위생 질병 환경오염 위험 축적 숲 경험 사회 확산 공론 숲 이미지 대립 경성부 총독부 소유지 점 인해 이용 처분 결정 과정 이해관계 개입 공론 정치 행위 활성 이미지 변형 공론 정치 행위 결합 분화 도시민 생활 방식 포획 과정 공공 이해 근대성 실현 과정 위계 과정 고찰 유효 대상 이글 숲 소재 위험 문제 공론 과정 탐색 공론 장의 제도 합법 진행 민족주의 정치 기획 담론 대상 1920년대 숲 민족주의 정치 기획 소재 매체 등장 서울 조성 숲 풍기 문란 숲 이미지 전복 토막 촌 형성 일견 가지 소재 근대 개인 사회 생산성 위협 위험 요소 간주 일상생활 조건 구조 문제 민족주의 정치 기획 근대성 회로 판 사적 영역 확대 통제 감시 강화 발전 위험관리 개발 보호 비대칭 순환 관계 문제 고찰 공공 민족주의 정치 기획 공론 장 풍기 문란 토막 촌 빈민 동아일보 사회사업 식민지 경성 공원 문명화 
40	2012	본 정 명동 60년대 여성 소비문화 양장점 미장원 
41	2016	명사 격 조사 이동 동사 용인 판단 조사 일본어 모어 화자 
42	2013	컬처 믹스 상실 에드워드 
43	2010	홍대 지역 인적 요소 방문자 특성 러버 
44	2014	현대시 한강 연계 주목 기존 성과물 반성 성찰 출발 한강 수도 문화 모태 경제성장 격변 지인 동시 현재 한국 문화 역사 중심지 점 한강 가치 문학 관점 지리학 연동 현대시 한강 정체성 양상 의미 분석 전제 한강 문학 도출 정의 한강 지류 남한강 유역 북한강 유역 임진강 유역 서울시 관통 부분 한강 본류 구역 한강 대상 한정 에드워드 이론 차용 사회 집단 개인 정체성 유형 지역 로 컬리 티 변별 한강 정체성 축출 정의화 과정 특정 역사 사회 공유 공동체 정서 공통 확인 문학 정의 진행 임진강 유역 중심 기 결과물 후속 진행 북한강 유역 남한강 유역 한강 관련 총체 결과물 정리 계획 문학 지리학 활용 학제 교육 방법론 구축 한국 형 브랜드 이미지 구축 방안 후속 기초 자료 사용 계획 과정 궁극 문학 인식 패러다임 구축 학문 통섭 과정 문학 총체 활용 종합 사고 형성 일조 한강 에드워드 현대시 문학 
45	2015	질 마재 서정주 시학 처음 끝 본고 입장 서정주 1940년대 1970년대 자신 고향 질 마재 산문 자서전 기억 회상 방식 서사 참조 질 마재 전통 향토 고향 조선 한국 표상 가치론 해당 질 마재 1940년대 1970년대 의미 맥락 공통점 차이점 전자 당대 동양 회귀 동방 전통 계승 교집합 형성 조선 질 마재 후자 사물 티 무한 우주 영원 시간 직조 신라 정신 계승 발현 한국 질 마재 글 질 마재 가치론 변화 입체 시대 표상 질 마재 역사 주목 질 마재 역사 조선 질 마재 한국 질 마재 가치론 차이 생성 질 마재 주체 시각 부과 성격 뜻 조선 질 마재 감정이입 내부자 관점 한국 질 마재 실존 상태 주체 획득 충만 마재 가치 시대 차이 전자 타자 문화 가치 경험 기록 표현 후자 타자 역동 삶 가치 심미 중심 두기 발생 서정주 마재 향토 자서전 기억 영원 신라 정신 
46	2014	지명 지역 명칭 의미 의미 인식 체계 지명 주민 역사 문화 옥녀봉 지명 지형 경관 특성 지명 옥녀봉 특정 산세 옥녀 인물 융합 자연 지리 실제 의미 기호 옥녀봉 지형 특성 마을 구성원 환경 인식 지속 관계 옥녀 풍요 다산 의미 언어 표현 구체 현대 사회 경제 토대 가족 관계 사회 가치관 변화 옥녀 상징 약화 결과 소멸 옥녀 숭배 미신 쾌락 이미지 격하 지명 인식 텍스트 조명 점 가치 판단 지명 옥녀봉 인식 체계 풍요 다산 
47	2016	조정래 아리랑 배경 김제만 경평 김제만 평야 농민 일제 토지 수탈 기만 정책 만주 연해주 하와이 등지 비극 이산 감행 만주 연해주 이주한 사람 전 농업 경험 기억 농사 중국 러시아 사회 정착 하와이 사탕수수 노동자 사람 몸 체득 부지런 기질 미국 사회 정착 일본 강점 홋카이도 남양군 도로 강제 징용 징병 명 청장년 처녀 대부분 행방불명 아리랑 호명 이름 사람 사람 지만 복 박용 복 실 이 기억 망각 지층 신채호 나철 홍범도 김좌진 박영 김원봉 항일 운동 독립 투쟁 실재 인물 집단 기억 대상 송 수익 방영 광민 민초 적극 참여 희생 일 명 허구 인물 실재 인물 실타래 사실 구현 작가 조정래 김제만 경평 사회 공론 장 확대 모색 김제만 경평 중심 만주 연해주 홋카이도 하와이 확장 김제만 평야 개인 애착 강제 노역 이산 슬픔 반쪽 해방 기억 장소라 점 조정래 아리랑 김제만 경평 전 농업 디아스포라 기억 
48	2016	지역 정책 전략 지배 지역 경쟁력 개념 성장 위기 상존 기조 지배 오늘날 지역 정책 전략 한계 문제의식 토대 지속 통합 지역 발전 정책 전략 지역 회복 력 개념 의미 적용 방안 사례 고찰 이론 고찰 논문 대내외 여건 급속 변화 직면 지역 변동 이해 지역 발전 전략 모색 지역 회복 력 개념 점 확인 지역 회복 력 측정 요인 문헌 분석 향후 지역 회복 력 관련 기본 방향 설정 시론 사례 분석 우리나라 대표 수도권 동남권 지역 회 복 력 추이 과정 스케일 패턴 경험 차별 지역 경로 의존 형성 산업 구조 지역 경쟁력 효과 지역 회복 력 패턴 이해 유의미 파악 지역 회복 력 지속 성장 대안 지역 발전 지역 경쟁력 
49	2011	기념비 감각 홀로코스트 
50	2016	멀티플렉스 등장 한국 영화 산업 불황 극복 견인차 역할 긍정 효과 영화 산업 문화 문제 야기 멀티플렉스 등장 인해 도시 맥락 측면 도시 구조 도심 공동 현상 문제점 우리나라 원 도심 도시 활성 문제 문제 기존 원 도심 위치 유휴 기타 상업시설 전용 영화관 시설 근대화 발전 도시 문화 역사 도시 기억 요소 이다 기억 요소 상징 형성 이글 이론 배경 상징 개념 도로시 유형 개념 현재 원 도심 영화관 주변 도시 조직 현실 이해 시각 확장 기회 영화관 기억 요소 원 도심 상징 측면 도시 조직 방식 재생 인가 논의 소형 문화 대두 시점 프로젝트 건축 차원 재생 방법 영향력 발휘 극장 시설 원 도심 재생 가치 장기 계획 멀티플렉스 관 극장 원 도심 형 멀티플렉스 유휴 시설 용도 전환 
51	2014	조선조 이상향 장 소성 도가 이상향 유교 이상향 기층 이상향 
52	2013	세계화 자본 이동은 순식간 지구 영향력 행사 인간의 삶 인식 범위 제한 시대 문학 구실 글 문제의식 답변 한국 근대화 시작 1930년대 산출 작품 박태원 천변 풍경 대상 자본 운동 분석 결과 문학 이외 자료 파악 당시 자본 운동 대비 결 락 그럼에도 불구하고 결론 다음 요약 천변 풍경 천변 조선인 생계유지 도박 산업 자본 이행 부르주 아로 신분 상승 의지 상태 현실 생계유지 경제 활동 생산 소비 저축 이란 자본 운동 일본 자본 이윤 극대화 전쟁 노동 탄압 생태 파괴 기여 작품 자본 운동 일본인 거주 지역 남 촌 관찰 점 작품 조선인 대부분 돈 의지 실패 조선 자본 흐름 관심 개인 욕망 경제 구조 좌절 가난 책임 인가 인식 작품 조선인 중 자본 운동 소외 개천 거지 냉소 어조 유지 가난 자 가난 자 타자 당대 대중 작가 자본주의 가치관 동화 가난 원인 뜻 가난 천변 조선인 연민 긍정 작품 미덕 한계 지적 거지 서민 삶 전 세계 자본 운동 연결 파악 한계 자본 운동 세계화 삶 영위 사용 재화 화폐 지구 타자 연관 인식 오늘날 문제 오늘 문학 문제 대응 인가 탐색 앞으로 과제 자본 운동 화폐 생태 계급 박태원 천변 풍경 이북 명 질소비료공장 
53	2012	테마파크 도시 공원 
54	2009	
55	2013	플래시 몹 사건 공공 
56	2012	문화콘텐츠 시대 소재 개발 문화 산업 콘텐츠 제공 소재 역사 문화 검증 소재 조직 특화 분야 연계 생산 역사 인물 음식 아이덴티티 강화 목적 방안 인물 역사 사실 기초 기반 음식 문화 연계 범위 성격 확장 방식 고찰 범위 이순신 장군 역사 문화 관련성 중심 향토음식 개발 시도 지역 대상 한정 지역 대표 역사 인물 콘텐츠 범주 확대 생산 지역 아이덴티티 구축 향토음식 브랜드 개발 활성 효과 방향 설정 기여 
57	2013	글 송순 삶 주요국 체험 중심 개인 경험 문학 반응 담양 면앙정 특정 송순 인식 의미 총체 자연 의미 담양 면앙정 한양 체험 부조리 불안 반감 분노 자긍심 정심 회복 정서 안정감 획득 이상 지향 도달 의지처 평생 불의 타협 정치 현실 담양 면앙정 자연 송순 자연 탈속 지향 점 이상향 구체 삶 담양 면앙정 사대부 이념 지향 의식 지향 실현 삶 체험 산출 한시 시조 가사 문학 세계 정점 송순 문하 사림 정치 암투 정쟁 희생 관련 순수 자 연애 동료애 교류 호남가단 시발점 면앙정 송순 애정 결실 소망 부정 정치 현실 상처 위로 응시 정심 회복 의미 송순 자연 미학 극치 불안도 회의 좌절 절대 조화 자연 세계 송순 장 소감 자연 정점 도달 의 자연 응시 끝 도달 경지 여유 달관 자긍 경지 기간 사람 회자 절개 성품 예찬 담양 면앙정 고통 현실 귀의처 마음 의지처 담양 면앙정 정점 자연 일 담양 면앙정 자연 삶 의지처 응시 정심 회복 여유 달관 자긍 
58	2015	담양 숙박 시설 사례 숙박 시설 체험 요인 고찰 하여장 소성 을 반영 숙박 시설 활성 시사점 제시 위해 먼저 숙박 시설 선택 속성 선행 바탕 숙박 시설 형 성선택 속성 도출 다음 담양 분석 반영 숙박 시설 죽 향 문화 체험 마을 명가 혜 사례 이용객 숙박 시설 체험 요인 의미 부여 만족도 파악 분석 결과 담양 대나무 기반 관광지 분위기 휴식 가사 문학 바탕 전통 문화권 이자 특유 음식 문화 발달 맛 고장 파악 담양 분석 결과 토대 죽 향 문화 체험 마을 명가 혜 체험 유형 대나무 체험 휴식 체험 전통문화 체험 음식 문화 체험 가지 분류 각각 체험 영향 숙박 시설 성선택 속성 체험 요인 분석 결과 숙박 시설 선택 속성 중 물리 요소 명칭 제외 가지 항목 행태 요소 역사 제외 가지 항목 의미 요소 가지 항목 숙박 시설 체험 긍정 영향 항목 생활양식 체험 운영자 태도 이용객 지속 교류 요소 이용객 방문 영향 확인 담양 숙박 시설 숙박 시설 선택 속성 숙박 시설 체험 요인 
59	2015	지방 도시 도심 부의 쇠퇴 도시 전체 쇠퇴 현상 정부 사업 면 소재지 재생 하드웨어 공급 사업 주 지역 고유 특성 반영 구면 소재지 기반 도시 재생 방안 도출 목적 시행 천 면 대상 이론 고찰 현황 조사 분석 재생 방안 전략 제시 도시 재생 방안 도출 도출 기반 천 면소 재지 도시 재생 실현 방안 다음 커뮤니티 센터 천 문화 거리 계획 구면 소재지 주민 교류 기능 재생 낭 대공원 조성 계획 지역민 대부분 경험 시절 추억 물리 재현 지역 공동체 재생 천 딸기 사과 가공 센터 체험 장 계획 경제 공동체 구현 본래 기능 상실 천 면 대상 기반 구체 재생 방안 의의 거점 면 소재지 재생 전략 도움 지방 도시 거점 면 소재지 회복 마케팅 
60	2011	정보 플랫폼 시공간 모빌리티 다 의성 
61	2013	이리 파주 밀양 이리 파주 밀양 애 실재 제유 타자 지향 윤리 이리 파주 밀양 
62	2016	건물 외벽 매체 활용 미디어 파사드 도시 랜드마크 구축 사용 신축 대형 건물 대상 해당 고유 정체성 한계 프랑스 20세기 초 전기 조명 보급 도시 야경 문화 구축 역사 유적 활용 야간 쇼 송에뤼미에르 장르 최초 건축가 폴 로베르 샹보르 궁성 전기 장비 설치 조명 음향 음악 몸 결합 야간 볼거리 각국 기술 전파 송에뤼미에르 세대 조명 음향 쇼 인간 퍼포먼스 결합 세대 타블로 비방 발전 지역민 참여 고장 역사 이야기 세대 역사 야외 극 현재 매핑 기술 이용 건물 외벽 이미지 투사 세대 파사드 도달 콘텐츠 각국 개발 부족 약점 물리 자체 정체성 장 소성 사람 부여 정체성 장 소감 결합 획득 프랑스 송에뤼미에르 역사 유적 고유 정체성 발굴 지역 정체성 결합 획득 몰입 공감 점 송에뤼미에르 조명 음향 쇼 역사 야외 극 미디어 파사드 도시 재생 샹보르 빛 채석장 
63	2014	현대 미술 작품 물리 한정 작품 성격 내용 제한 의미 발생 담론 비평 장 개념 작품 감상 관람자 사회 활동 장 제공 논문 현대 미술 논의 문제 플라이 해석 틀 분석 작품 기존 논의 개념 은 탄소 상쇄 나무 심기 프로젝트 실제 농장 필리핀 오지 인터넷 사이버 미술관 동시 점유 대지 미술 인터넷 아트 개념 미술 사회 참여 형태 포괄 작업 법 존재 땅 작가 경작 묘목 인터넷 확인 데이터 실재 조건 실체 재현 암시 관람자 제공 수단 묘목 재현 기록 사진 인터넷 홈페이지 제공 동영상 대지 미술 경험 제기 실제 간의 괴리 재연 문제 물리 측면 관람자 제도 고려 기획전 프레임 이자 공인 미술관 제시 탄소 배출 담론 논문 현대 미술 담론 제기 모더니즘 미술 자율 초월 비판 기반 작품 발생 다층 문제 플라이 열대 우림 농장 특정 자본 미술 
64	2011	초등학교 도시 학교 운동장 학교 규모 초등학교 선호 
