Id,Label,timeset,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree
117,predictors,,13,12,5,0.332233,0.346748,192.655461,248
118,pattern,,28,4,4,0.388967,0.415236,990.512775,414
119,visibility,,12,12,5,0.342301,0.357212,224.454182,253
120,music,,16,2,5,0.387334,0.410524,356.592218,259
121,model,,69,6,4,0.43276,0.469512,4884.105925,1244
122,male,,4,1,5,0.373356,0.393135,0,81
123,adult,,4,1,5,0.36212,0.382219,0,105
124,cities,,21,4,4,0.400942,0.425173,294.301522,381
125,project,,47,4,4,0.441388,0.470792,524.600572,812
126,school,,17,3,4,0.39395,0.417344,272.83031,276
127,relationships,,35,6,4,0.437549,0.463791,425.506839,588
128,delivery,,9,1,5,0.351987,0.37561,0.285714,184
129,centre,,19,1,4,0.396774,0.421409,131.640703,316
130,term,,50,9,4,0.460483,0.487203,2038.098401,744
131,home,,37,3,4,0.437896,0.464393,2385.275745,645
132,part,,53,3,4,0.455743,0.483966,3155.372286,904
133,teachers,,8,3,4,0.380805,0.402439,16.107584,148
134,teach,,7,3,4,0.385849,0.408311,14.715887,146
135,aspects,,46,4,4,0.440334,0.469587,998.428062,809
136,era,,8,0,5,0.345075,0.364318,15.341111,142
137,attention,,25,0,4,0.425115,0.451521,797.273208,405
138,point,,13,0,4,0.395357,0.418398,555.201374,213
139,view,,28,0,4,0.423165,0.449187,300.637891,470
140,move,,7,0,4,0.376787,0.397847,0,138
141,iba,,5,0,5,0.329268,0.347004,0,108
142,art,,12,0,4,0.370854,0.393255,1213.902224,192
143,name,,12,0,5,0.365588,0.386886,2227.363872,243
144,activities,,19,0,4,0.401087,0.426603,51.223087,321
145,japan,,10,0,4,0.371976,0.393707,1106.401689,172
146,influence,,47,0,4,0.45462,0.481557,1458.69275,792
147,discussions,,8,0,4,0.381856,0.404472,11.342289,157
148,work,,97,4,4,0.47572,0.512421,6782.772755,1599
149,dweller,,5,0,5,0.329268,0.347004,0,108
150,intellectuals,,5,0,5,0.329268,0.347004,0,108
151,day,,13,0,4,0.380151,0.403192,31.803561,211
152,club,,5,0,5,0.329268,0.347004,0,108
153,return,,5,0,5,0.329268,0.347004,0,108
154,spirit,,8,0,5,0.372226,0.395017,89.720603,146
155,soul,,5,0,5,0.329268,0.347004,0,110
156,localization,,17,3,4,0.37386,0.396266,98.853785,261
157,order,,38,1,4,0.456683,0.480202,1793.644893,599
158,framework,,10,2,4,0.386657,0.409515,91.424003,174
159,floor,,34,4,5,0.373482,0.400888,1098.330668,475
160,strength,,34,4,5,0.373482,0.400888,1098.330668,483
161,force,,13,6,4,0.385849,0.408612,40.241402,225
162,time,,44,6,4,0.444578,0.472222,1836.217814,767
163,resource,,34,6,4,0.420273,0.449714,2645.408705,653
164,proposition,,6,6,4,0.366314,0.3852,44.918204,123
165,theme,,28,1,4,0.428406,0.45408,688.359033,428
166,kingdom,,32,3,4,0.437722,0.464469,1222.803297,491
167,population,,32,1,4,0.431243,0.457167,334.362368,496
168,children,,49,5,4,0.403573,0.436465,6706.959959,687
169,scotland,,11,5,4,0.370234,0.390169,1476.080598,160
170,access,,16,12,5,0.363189,0.38365,411.752273,334
171,authenticity,,13,2,4,0.37872,0.402213,78.988076,215
172,beatles,,8,3,5,0.347458,0.366787,53.455497,147
173,concern,,47,0,4,0.434458,0.464544,1015.995861,720
174,policy,,27,1,4,0.421233,0.447079,1173.718675,445
175,areas,,54,1,4,0.453131,0.482535,1245.63161,860
176,measure,,37,1,4,0.416949,0.446402,1926.520327,666
177,style,,29,4,5,0.377687,0.404125,886.743058,442
178,action,,30,9,4,0.421714,0.448509,4075.516049,471
179,capital,,17,9,4,0.413368,0.43797,1791.577828,294
180,media,,26,2,4,0.398058,0.425324,5068.255524,426
181,shape,,12,6,4,0.420433,0.443692,77.788891,205
182,items,,14,1,4,0.372101,0.393631,0.643533,266
183,memory,,32,3,4,0.404457,0.432099,1572.012611,547
184,users,,13,5,5,0.37872,0.400813,689.772539,243
185,human-computer,,6,5,5,0.313687,0.326634,1.834408,128
186,society,,47,1,4,0.441564,0.470641,886.10019,725
187,survey,,44,1,4,0.433608,0.462963,399.449489,765
188,perceptions,,53,6,4,0.449087,0.47847,3942.372396,910
189,hospitals,,17,1,5,0.354353,0.380503,41.448557,284
190,neighborhood,,13,4,5,0.354467,0.372132,228.100237,238
191,tourists,,14,2,5,0.373104,0.396372,351.834859,266
192,australia,,25,1,4,0.420433,0.446101,1698.55864,358
193,ethnicity,,12,9,4,0.383443,0.407031,71.703822,168
194,argue,,20,3,4,0.412906,0.436992,47.093115,307
195,dwell,,11,3,5,0.354467,0.373487,79.737036,162
196,physician,,6,1,4,0.352436,0.375038,0,100
197,husband,,6,1,4,0.352436,0.375038,0,100
198,family,,12,1,4,0.399207,0.422614,25.650378,193
199,labor,,6,1,4,0.352436,0.375038,0,100
200,pregnancy,,6,1,4,0.352436,0.375038,0,100
201,power,,23,6,4,0.407735,0.432852,62.817717,391
202,structure,,41,4,4,0.42268,0.452048,7274.8688,615
203,qualities,,10,3,5,0.364265,0.384327,2.022,203
204,relation,,23,12,4,0.419159,0.444294,2000.674549,341
205,fearlessness,,4,1,4,0.324824,0.338829,1.120313,80
206,border,,18,12,4,0.407285,0.431798,647.355322,301
207,respondents,,19,6,4,0.369493,0.393104,361.138299,340
208,density,,16,6,4,0.365467,0.387835,266.776345,273
209,queer,,3,2,5,0.326838,0.338407,0,72
210,spirituality,,3,2,5,0.326838,0.338407,0,72
211,silesia,,7,3,5,0.359299,0.377928,0,156
212,settings,,19,12,5,0.388285,0.412481,1022.158802,321
213,level,,36,0,5,0.433608,0.460735,862.214647,581
214,create,,20,4,4,0.396774,0.420431,167.840438,336
215,mobility,,13,9,4,0.389104,0.412752,233.22749,221
216,technologies,,6,5,5,0.363666,0.381316,25.015964,97
217,aspect,,3,1,5,0.362001,0.381768,0,56
218,program,,18,6,4,0.396632,0.421108,3623.296526,282
219,fee,,11,6,4,0.372101,0.393556,37.838213,228
220,traditions,,8,9,5,0.367774,0.388452,164.991454,159
221,environments,,12,4,5,0.374239,0.394414,31.234233,171
222,interest,,28,4,4,0.416635,0.443315,132.246801,381
223,conservation,,16,0,4,0.397344,0.421183,1707.519604,268
224,conceptualization,,8,9,5,0.348004,0.36498,2.582102,137
225,concepts,,27,3,4,0.431411,0.456715,421.482216,435
226,person,,10,0,5,0.388557,0.411578,98.211295,156
227,hospital,,8,1,5,0.351875,0.375158,0,150
228,share,,21,6,4,0.411218,0.435863,105.135204,270
229,theory,,30,4,4,0.413523,0.441057,1245.494175,427
230,drug,,10,0,5,0.362594,0.382219,54.609223,148
231,information,,31,5,4,0.395357,0.423442,3128.61406,516
232,indicators,,12,9,5,0.37323,0.395318,64.623905,184
233,well-being,,7,6,5,0.354694,0.371454,13.80596,130
234,associations,,2,3,5,0.339466,0.353839,0,45
235,pathway,,7,12,5,0.293167,0.306173,10.275766,128
236,knowledge,,31,3,4,0.425933,0.452575,2560.767909,499
237,race,,3,7,6,0.285015,0.2947,0.5,56
238,categories,,21,7,5,0.398201,0.423698,4534.671439,350
239,canada,,11,1,4,0.406537,0.430217,123.319502,150
240,park,,29,6,4,0.424789,0.452198,2695.228348,466
241,saudi,,7,4,5,0.337603,0.353764,5.291983,120
242,histories,,4,3,4,0.359766,0.377672,2.2,73
243,taylor,,18,2,4,0.418526,0.441659,102.658731,317
244,francis,,14,2,4,0.413832,0.43639,78.903337,244
245,claim,,14,6,4,0.381593,0.404923,77.30817,204
246,prostitution,,4,3,5,0.352885,0.368519,0,81
247,context,,31,6,4,0.430907,0.456715,190.53111,485
248,ltd.,,27,1,4,0.4444,0.467404,252.009752,393
249,baby,,4,1,5,0.322083,0.337549,15.612577,70
250,way,,20,0,4,0.409697,0.434959,60.310073,304
251,production,,11,3,5,0.377945,0.39878,11.501579,166
252,support,,31,1,4,0.414452,0.44196,1546.356377,498
253,dependence,,23,6,4,0.382119,0.407709,272.95023,381
254,displacements,,5,0,5,0.324824,0.336375,7.402555,84
255,afrikaans,,5,0,5,0.324824,0.336375,7.402555,75
256,illustrate,,5,2,5,0.339883,0.356022,2.507341,87
257,stress,,12,1,4,0.37386,0.395363,71.40601,187
258,income,,12,1,4,0.371726,0.392578,0,195
259,subdivision,,10,4,5,0.328682,0.345784,64.989903,165
260,debate,,17,9,4,0.394793,0.419301,166.475511,262
261,retention,,6,5,5,0.310693,0.324797,58.381844,105
262,picture,,7,5,5,0.348223,0.36611,291.700101,116
263,workplace,,13,8,4,0.343362,0.3581,1714.15831,204
264,motivation,,11,8,5,0.344002,0.359094,1707.733354,156
265,kanaka,,4,1,5,0.36212,0.382219,0,76
266,"""waianae""",,4,1,5,0.36212,0.382219,0,76
267,hawaiians,,4,1,5,0.36212,0.382219,0,76
268,software,,6,1,5,0.368263,0.38922,198.283616,118
269,recreation,,16,6,4,0.378074,0.401837,62.521292,259
270,curvature,,6,12,5,0.298544,0.310358,0.392857,101
271,constraints,,9,0,5,0.365709,0.383725,7.1556,123
272,feature,,20,3,4,0.420913,0.445348,1181.718431,256
273,science,,28,5,4,0.443155,0.466802,1087.519204,375
274,trust,,5,9,4,0.374873,0.395739,6.831451,76
275,connection,,9,0,4,0.400217,0.42299,3.10138,133
276,britain,,7,3,4,0.374873,0.395664,0,117
277,reveal,,4,3,5,0.381593,0.403824,0,71
278,female,,2,1,5,0.343256,0.365733,0,43
279,emerge,,5,6,4,0.371227,0.390997,0.017857,73
280,condition,,30,6,4,0.432253,0.458371,361.603456,427
281,hiker,,11,6,4,0.367774,0.388663,1.812471,200
282,search,,2,1,4,0.381461,0.402063,0,44
283,attitudes,,18,6,4,0.399351,0.423517,239.321341,265
284,river,,9,6,5,0.345721,0.359485,148.943843,136
285,fund,,9,1,5,0.351987,0.37561,0.285714,156
286,century,,18,3,4,0.39564,0.419753,78.399256,271
287,mystery,,5,12,5,0.272526,0.283243,0,92
288,masculinity,,3,1,5,0.318653,0.333363,0,54
289,fear,,8,1,4,0.35266,0.372102,127.232277,132
290,crime,,9,1,4,0.371103,0.392427,53.976047,149
291,criteria,,6,4,5,0.334643,0.350226,0,102
292,morphology,,8,4,5,0.356178,0.373562,0,145
293,unit,,19,4,5,0.378591,0.40277,241.911291,309
294,restoration,,8,4,5,0.342512,0.357302,0,125
295,elements,,31,4,4,0.442446,0.467404,978.235077,453
296,evolution,,4,4,5,0.333133,0.348645,0,69
297,help,,4,9,5,0.358717,0.376874,8.365602,63
298,re-memories,,3,3,4,0.359416,0.37692,0,51
299,holyland,,3,6,4,0.36,0.377145,0,63
300,tension,,4,3,5,0.335455,0.349473,0,82
301,kuwait,,4,3,5,0.335455,0.349473,0,78
302,implications,,11,1,4,0.398919,0.422087,32.428516,161
303,discuss,,7,4,4,0.385849,0.40816,51.670019,90
304,inland,,4,1,5,0.338739,0.361006,0,73
305,developments,,8,4,5,0.386118,0.407438,122.957587,130
306,base,,46,3,4,0.442977,0.471469,1937.526192,683
307,link,,13,9,4,0.420114,0.443466,89.166696,216
308,author,,26,12,4,0.422519,0.447832,1693.912145,378
309,predictor,,4,12,5,0.287458,0.29875,0,70
310,settlement,,6,6,4,0.368263,0.388211,41.209578,83
311,nation,,5,0,4,0.369739,0.390169,51.890167,73
312,perspectives,,10,0,5,0.397487,0.421289,5.95592,149
313,others,,20,1,4,0.420913,0.446628,149.783502,269
314,satisfaction,,20,6,4,0.408487,0.433454,1105.021864,307
315,difference,,8,1,4,0.384242,0.407106,266.663217,111
316,identification,,18,6,4,0.415073,0.438949,52.382466,255
317,geographers,,10,3,4,0.389652,0.411849,1256.053185,161
318,geographies,,9,3,4,0.384375,0.406429,61.635613,134
319,outcomes,,2,1,5,0.339154,0.361081,0,38
320,participate,,5,1,4,0.366678,0.387233,0,67
321,characteristics,,14,1,4,0.405198,0.428561,39.718366,174
322,communication,,8,5,5,0.363308,0.381542,22.343205,128
323,mine,,12,3,4,0.387063,0.410042,25.037862,167
324,inuit,,11,4,4,0.374746,0.396718,203.446097,148
325,settlements,,4,4,5,0.333133,0.348645,0,67
326,writers,,4,0,5,0.327612,0.344746,51.825676,74
327,destination,,3,2,4,0.364504,0.383318,0,55
328,control,,12,12,4,0.401087,0.424044,346.745306,166
329,town,,25,3,4,0.413832,0.439551,2344.86057,354
330,gianyar,,4,3,5,0.346046,0.36084,14.561358,60
331,material,,14,3,4,0.391166,0.415161,17.075561,230
332,narratives,,10,3,4,0.382119,0.404321,83.614553,156
333,presence,,5,3,4,0.365106,0.384222,0,73
334,representations,,6,3,4,0.357789,0.377748,55.406763,97
335,address,,5,1,4,0.368019,0.388588,0,78
336,offer,,10,2,4,0.385983,0.407031,37.524807,158
337,materialist,,3,3,5,0.343682,0.359259,0,57
338,paint,,1,3,5,0.337397,0.351355,0,24
339,days,,2,0,5,0.327224,0.343541,0,37
340,period,,4,0,5,0.348552,0.366034,0,58
341,studio,,2,1,4,0.366193,0.384297,0,40
342,sweden,,3,6,5,0.333735,0.349699,0,54
343,marginalise,,3,0,5,0.347894,0.361894,0,51
344,addict,,3,0,5,0.347894,0.361894,0,51
345,phase,,3,0,5,0.347894,0.361894,0,51
346,forestry,,4,9,5,0.345075,0.360087,0,66
347,comparison,,4,1,5,0.362713,0.383047,120.349421,64
348,inhabit,,2,7,6,0.284942,0.294249,0,36
349,divide,,2,7,6,0.284942,0.294249,0,36
350,job,,5,8,5,0.341667,0.354667,26.31469,83
351,mindscape,,6,6,4,0.360469,0.379027,1127.984021,90
352,loss,,2,1,5,0.346262,0.366245,0,36
353,las,,2,0,6,0.267844,0.276197,0,40
354,vegas,,2,0,6,0.267844,0.276197,0,40
355,religion,,21,2,4,0.420433,0.445122,3721.36719,306
356,play,,8,3,4,0.389241,0.40959,8.645724,126
357,discourse,,7,3,4,0.37872,0.398299,1106.327165,90
358,individuals,,8,9,5,0.392136,0.414815,7.241798,117
359,provide,,2,2,5,0.312271,0.327462,0,37
360,asia,,8,2,4,0.380543,0.403041,11.868705,112
361,feel,,12,1,4,0.412291,0.434658,70.898839,169
362,movements,,3,0,5,0.327418,0.344143,0,46
363,center,,2,0,5,0.327224,0.343541,0,38
364,ideals,,2,0,5,0.327224,0.343541,0,35
365,desire,,2,0,5,0.327224,0.343541,0,37
366,realize,,2,0,5,0.327224,0.343541,0,35
367,takeshi,,2,0,5,0.327224,0.343541,0,35
368,promote,,2,0,5,0.327224,0.343541,0,35
369,cover,,2,0,5,0.327224,0.343541,0,35
370,fact,,10,2,4,0.381067,0.40259,127.40137,148
371,dream,,2,0,5,0.327224,0.343541,0,43
372,stimulate,,2,0,5,0.327224,0.343541,0,35
373,renaissance,,2,0,5,0.327224,0.343541,0,35
374,painters,,2,0,5,0.327224,0.343541,0,35
375,nature,,19,0,4,0.408336,0.433379,115.639494,248
376,regard,,5,0,5,0.367042,0.385456,1.438491,68
377,creations,,2,0,5,0.327224,0.343541,0,35
378,discontinue,,2,0,5,0.327224,0.343541,0,35
379,contributors,,2,0,5,0.327224,0.343541,0,35
380,comfort,,2,0,5,0.327224,0.343541,0,35
381,write,,2,0,5,0.327224,0.343541,0,35
382,possibility,,2,0,5,0.327224,0.343541,0,35
383,lead,,6,3,5,0.343149,0.360855,15.799244,89
384,confuse,,2,0,5,0.327224,0.343541,0,35
385,dirty,,2,0,5,0.327224,0.343541,0,35
386,attractions,,2,0,5,0.327224,0.343541,0,35
387,need,,10,0,4,0.384242,0.407558,20.112401,147
388,compensate,,2,0,5,0.327224,0.343541,0,35
389,disillusionment,,2,0,5,0.327224,0.343541,0,35
390,pay,,2,0,5,0.327224,0.343541,0,39
391,kishu,,2,0,5,0.327224,0.343541,0,35
392,join,,2,0,5,0.327224,0.343541,0,35
393,editor,,2,0,5,0.327224,0.343541,0,35
394,publisher,,2,0,5,0.327224,0.343541,0,35
395,position,,22,3,4,0.412598,0.438799,152.415646,306
396,chief,,2,0,5,0.327224,0.343541,0,35
397,opinions,,2,0,5,0.327224,0.343541,0,35
398,greatly.art,,2,0,5,0.327224,0.343541,0,35
399,eurasia,,3,0,4,0.36753,0.386856,0,51
400,honshu,,2,0,5,0.327224,0.343541,0,35
401,kinki,,2,0,5,0.327224,0.343541,0,35
402,prf,,2,0,5,0.327224,0.343541,0,35
403,cost,,6,1,5,0.35266,0.375384,2.419034,86
404,length,,5,12,5,0.298463,0.309907,0,72
405,risk,,10,9,4,0.367286,0.388889,249.795394,154
406,sydney,,3,2,5,0.351317,0.367465,0,47
407,account,,7,0,4,0.39172,0.413053,0,125
408,attraction,,10,6,4,0.373482,0.395212,40.471207,167
409,surround,,2,4,5,0.359066,0.381391,0,41
410,planners,,4,4,4,0.370482,0.390018,3.894548,68
411,goals,,1,1,5,0.32022,0.332174,0,22
412,systems,,15,4,5,0.38883,0.41346,660.821942,211
413,witness,,5,3,5,0.3375,0.349548,59.206223,69
414,reason,,9,1,4,0.387198,0.408913,451.917724,114
415,decisions,,7,1,5,0.386792,0.408642,0,91
416,pressure,,6,1,5,0.357443,0.37844,88.464833,76
417,components,,4,6,5,0.35311,0.370024,16.047749,55
418,preferences,,2,3,5,0.338119,0.352559,40.43145,38
419,reality,,9,3,5,0.361528,0.379434,1185.693078,140
420,cohesion,,5,6,4,0.370482,0.390319,0,70
421,symposium,,3,9,5,0.3075,0.319332,0,46
422,perspective,,2,1,5,0.346262,0.366245,0,32
423,responses,,3,1,4,0.381593,0.402514,0,49
424,emotions,,2,3,5,0.325397,0.33645,0,39
425,carers,,2,3,5,0.325397,0.33645,0,39
426,conclude,,5,4,4,0.372226,0.392427,0,66
427,site,,8,3,4,0.388694,0.411247,16.32666,102
428,quality,,22,9,5,0.404457,0.430623,293.89181,291
429,impact,,13,4,4,0.415541,0.438272,103.239845,178
430,liverpool,,2,3,5,0.3375,0.351807,0,39
431,reserved.community,,1,9,5,0.344431,0.358281,0,21
432,memories,,4,3,4,0.369123,0.387835,0,63
433,conflict,,12,6,4,0.389789,0.411247,77.937179,152
434,map,,9,3,4,0.365347,0.383394,6.781575,126
435,questionnaire,,17,3,4,0.386253,0.409892,1938.252441,197
436,i.e.,,9,6,4,0.366556,0.386555,0,143
437,observations,,2,1,5,0.339154,0.361081,0,31
438,university,,14,4,4,0.397772,0.422614,1923.565742,178
439,child,,1,1,5,0.336679,0.357693,0,21
440,visitor,,5,6,4,0.366799,0.385953,0,71
441,revenue,,4,6,4,0.358252,0.375715,0,60
442,concealment,,3,12,5,0.287383,0.298299,0,51
443,whitewater,,3,6,5,0.32917,0.34056,0,45
444,selectivity,,2,0,5,0.302542,0.312782,0,33
445,leadership,,7,1,5,0.351764,0.374706,0,102
446,body,,2,1,5,0.36212,0.38252,0,33
447,personnel,,25,1,4,0.39089,0.417269,3805.152003,320
448,technology,,16,5,4,0.366314,0.387835,4128.661131,215
449,island,,2,2,5,0.283193,0.292367,0,33
450,remoteness,,3,2,5,0.320405,0.332099,64.747885,45
451,organization,,3,4,5,0.356407,0.373336,103.54261,41
452,events,,5,2,5,0.353561,0.370852,6.064044,67
453,garden,,9,9,5,0.351987,0.370024,2275.039541,106
454,number,,16,3,4,0.397344,0.420355,1134.609519,215
455,photograph,,5,4,4,0.380543,0.403418,9.310679,67
456,examples,,2,2,5,0.312271,0.327462,0,34
457,architecture,,7,3,5,0.360586,0.378154,11.133372,95
458,trouble,,2,5,6,0.281895,0.293857,0,38
459,screen,,2,5,6,0.281895,0.293857,0,38
460,theories,,2,5,6,0.281895,0.293857,0,38
461,schema,,2,5,6,0.281895,0.293857,0,38
462,user,,2,5,6,0.281895,0.293857,0,38
463,interaction,,11,5,4,0.403279,0.426152,461.354047,151
464,college,,5,2,5,0.337397,0.351039,1107.043098,70
465,towns,,10,2,4,0.380543,0.403192,1229.054399,144
466,india,,1,1,5,0.336679,0.357693,0,20
467,mortality,,2,2,5,0.277652,0.287022,0,36
468,hostility,,11,2,4,0.335251,0.349217,2503.661143,130
469,party,,8,9,5,0.334947,0.347651,5520.959681,91
470,citizens,,5,9,5,0.358368,0.377025,64.781872,66
471,agendas,,1,4,5,0.330744,0.345333,0,20
472,england,,8,3,4,0.374746,0.395664,39.827667,123
473,neighborhoods,,6,4,5,0.336986,0.353538,5.587549,81
474,belong,,7,6,4,0.37898,0.399353,35.722294,88
475,determinants,,4,3,5,0.341983,0.356926,12.42222,51
476,market,,7,2,4,0.369246,0.389416,125.237231,83
477,side,,5,4,5,0.348552,0.366862,67.809551,71
478,extent,,2,2,5,0.312271,0.327462,0,34
479,wider,,2,2,5,0.312271,0.327462,0,33
480,creation,,6,6,4,0.375,0.396417,31.043777,85
481,explore,,8,1,4,0.399207,0.421786,0,109
