Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
222,state,,189,4,0.48389,0.514055,21759.98875
223,production,,55,4,0.431818,0.454944,1224.573068
224,participatory,,60,4,0.435795,0.459463,1539.035941
225,communication,,77,4,0.427184,0.453881,4140.993321
226,immigrants,,52,4,0.413793,0.437998,2565.665733
227,list,,17,4,0.395958,0.417065,183.373775
228,order,,45,4,0.425879,0.449096,192.305329
229,landowners,,34,4,0.407672,0.43009,963.061103
230,media,,115,4,0.458333,0.485148,22294.417929
231,accord,,34,4,0.417722,0.439992,200.288153
232,narratives,,60,4,0.440154,0.462919,933.935995
233,condition,,107,4,0.450269,0.477705,6429.410673
234,identification,,31,4,0.411687,0.433679,97.373975
235,de-studentification,,12,5,0.361227,0.377399,124.783446
236,region,,111,4,0.46086,0.486543,3464.64133
237,knowledge,,174,4,0.478809,0.508473,9945.010908
238,university,,56,4,0.429158,0.452784,5433.474579
239,way,,96,4,0.458166,0.482423,3860.33287
240,hand,,34,4,0.409269,0.431719,97.124701
241,adult,,43,4,0.42415,0.446704,1186.806149
242,ewe,,9,4,0.361123,0.376861,0
243,households,,44,4,0.378223,0.400684,466.910986
244,country,,51,4,0.421513,0.445408,3845.513912
245,placeness,,15,4,0.35072,0.364799,12.137248
246,lijiang,,15,4,0.35072,0.364799,12.137248
247,residence,,51,4,0.428571,0.451721,2034.308115
248,beauty,,15,4,0.400064,0.420421,3.801482
249,form,,129,4,0.4673,0.493986,3636.228894
250,construction,,35,4,0.426966,0.448133,1999.049644
251,learn,,67,4,0.426386,0.452053,7508.379356
252,longevity,,16,4,0.390229,0.410287,57.382656
253,emotions,,33,4,0.390289,0.412447,1071.44567
254,discussion,,56,4,0.431447,0.454844,215.472188
255,relocation,,45,4,0.397653,0.421784,797.846936
256,household,,25,5,0.373159,0.39259,135.043455
257,mine,,40,4,0.401473,0.42504,7081.782849
258,coal,,35,4,0.390168,0.412646,1571.432678
259,representations,,142,4,0.45181,0.483652,64553.347785
260,respect,,23,4,0.396961,0.417929,0.144918
261,accumulation,,19,4,0.39335,0.414341,0
262,issue,,100,4,0.458669,0.483353,1692.697384
263,bring,,20,4,0.4,0.421418,12.606468
264,criteria,,20,4,0.393412,0.41454,0
265,thing,,19,4,0.39335,0.414341,0
266,coherence,,20,4,0.393597,0.41474,0
267,viewers,,19,4,0.39335,0.414341,0
268,impression,,19,4,0.39335,0.414341,0
269,effectiveness,,25,4,0.40827,0.429492,97.369226
270,proposition,,20,4,0.393535,0.414673,0
271,systems,,75,4,0.44,0.465178,3985.777908
272,concept,,91,4,0.460775,0.483818,1210.865479
273,diversity,,36,4,0.424007,0.445641,499.227816
274,indicators,,18,4,0.389078,0.40939,54.605344
275,ireland,,33,4,0.391814,0.414042,1955.544952
276,second-generation,,16,5,0.364747,0.382868,75.026913
277,body,,70,4,0.420664,0.447236,42047.241464
278,panorama,,11,5,0.32487,0.336796,81.207774
279,neighbourhood,,64,4,0.438845,0.46262,735.74582
280,visitors,,89,4,0.440309,0.467006,4209.993801
281,men,,29,5,0.411958,0.43336,664.307384
282,renewal,,42,4,0.416473,0.439195,10378.964146
283,challenge,,75,4,0.453855,0.476176,1476.51293
284,return,,29,4,0.395272,0.416866,403.796649
285,river,,45,4,0.41434,0.437998,10295.157747
286,language,,58,4,0.426386,0.450459,3467.627716
287,intentions,,41,4,0.397527,0.420687,1142.902031
288,farm,,49,4,0.406088,0.430788,2157.931503
289,illness,,11,5,0.368986,0.387374,26.127051
290,architecture,,17,4,0.381793,0.40115,168.203904
291,mountain,,53,4,0.433835,0.456672,16734.975029
292,hazard,,31,4,0.396522,0.418594,1276.18938
293,government,,11,4,0.383897,0.403143,0
294,performance,,42,4,0.408469,0.431386,1445.743089
295,instructor,,10,4,0.353738,0.368321,12.260168
296,male,,14,4,0.393473,0.413743,24.920138
297,generations,,26,4,0.395646,0.416733,235.491434
298,stigma,,6,4,0.369584,0.385799,0.379325
299,worry,,27,4,0.389139,0.410885,733.819043
300,responses,,49,4,0.43041,0.453482,1169.390932
301,store,,22,4,0.372052,0.390683,714.36315
302,sign,,20,4,0.375899,0.394471,978.863275
303,module,,10,4,0.353738,0.368321,12.260168
304,recovery,,14,5,0.369312,0.38641,615.748849
305,york,,45,4,0.415094,0.438264,2697.850301
306,argue,,38,4,0.432116,0.45305,158.213544
307,example,,31,4,0.420453,0.441653,345.810035
308,personalities,,9,4,0.371171,0.389686,0.506036
309,representation,,27,4,0.411282,0.433014,602.247458
310,pregnancy,,16,5,0.36953,0.387108,731.619148
311,music,,31,4,0.38555,0.406798,16334.468333
312,rap,,12,4,0.356199,0.369916,189.196085
313,power,,38,4,0.414272,0.437168,3726.515202
314,viewsheds,,19,4,0.393473,0.414175,154.0335
315,recreation,,27,4,0.404843,0.426568,446.031602
316,number,,62,4,0.436706,0.460393,1067.842444
317,persons,,24,4,0.412297,0.434044,608.784713
318,foliage,,11,5,0.342062,0.356134,66.664692
319,threat,,21,4,0.385017,0.405004,603.699848
320,message,,68,4,0.398095,0.42514,33885.060283
321,engagement,,33,4,0.423506,0.444577,267.462561
322,well-being,,20,4,0.411417,0.431951,127.204671
323,willingness,,36,4,0.402181,0.42494,554.560635
324,carp,,12,4,0.359209,0.375465,295.868197
325,consumer,,21,4,0.383018,0.405004,1734.250668
326,fitness,,19,5,0.37444,0.394983,858.721028
327,part,,88,4,0.459257,0.482224,1461.505479
328,rivers,,11,4,0.393659,0.413809,7.288236
329,policies,,45,4,0.431521,0.454014,270.580489
330,neighbourhoods,,48,4,0.417791,0.44152,1811.288263
331,marine,,38,4,0.395896,0.418361,381.229005
332,concern,,75,4,0.447537,0.471159,640.083246
333,capacities,,11,4,0.365598,0.383473,23.661956
334,blog,,8,5,0.357877,0.375013,5.571598
335,mixed-use,,9,5,0.366025,0.383785,0.269497
336,humans,,21,4,0.41108,0.432084,44.067616
337,ats,,13,5,0.364059,0.380695,6.349732
338,radiation,,13,5,0.364059,0.380695,6.349732
339,sport,,30,4,0.397024,0.418727,3053.906067
340,surface,,5,5,0.368066,0.385181,45.463424
341,business,,24,4,0.397969,0.419358,263.305657
342,share,,51,4,0.436934,0.458998,466.664762
343,assessments,,25,4,0.40128,0.422913,199.857608
344,transition,,34,4,0.41034,0.432549,2899.800132
345,tool,,65,4,0.435795,0.459729,751.551823
346,measure,,50,4,0.431076,0.453814,1987.982952
347,town,,51,4,0.435719,0.458433,3759.742195
348,program,,57,4,0.420453,0.445275,10008.627671
349,payments,,15,4,0.358337,0.374934,772.03503
350,preferences,,36,4,0.41482,0.437267,337.405886
351,resident,,11,4,0.38656,0.405602,13.673597
352,industry,,27,4,0.398792,0.420621,805.220076
353,concepts,,40,4,0.427694,0.449528,246.222821
354,discourse,,35,4,0.416681,0.438796,529.268365
355,demand,,14,4,0.387336,0.407097,50.800475
356,ces,,16,4,0.392673,0.413377,20.654013
357,island,,27,4,0.39759,0.418627,501.620366
358,geopark,,16,4,0.380519,0.399289,59.799376
359,oil,,32,4,0.393906,0.415969,7821.526462
360,dependence,,42,4,0.421654,0.444312,382.448499
361,project,,75,4,0.438999,0.463882,2588.601794
362,psychology,,51,4,0.435871,0.458765,1894.595443
363,help,,40,4,0.430041,0.451621,354.054842
364,characteristics,,79,4,0.441394,0.466673,1577.606866
365,scenarios,,26,4,0.400959,0.422116,1696.879299
366,geovisualization,,43,4,0.388898,0.411483,19377.044438
367,climbathon,,12,4,0.361644,0.378721,5.503148
368,placelessness,,11,4,0.360915,0.376861,71.272286
369,hotels,,11,4,0.365012,0.382343,111.204415
370,consumers,,28,4,0.377427,0.398691,1308.594797
371,campo,,13,5,0.356706,0.371956,449.553217
372,square,,17,4,0.363162,0.379353,664.235951
373,origin,,13,5,0.368498,0.385679,31.362329
374,isolation,,11,5,0.354287,0.369398,4.525761
375,sequestration,,15,4,0.351064,0.366693,552.014073
376,owners,,26,4,0.385313,0.406532,5114.719052
377,plate,,8,5,0.354488,0.370441,4.775962
378,scale,,82,4,0.448658,0.472953,4300.83237
379,diffusion,,12,4,0.356199,0.369916,189.196085
380,behaviors,,46,4,0.400064,0.424342,667.773271
381,animals,,21,5,0.377256,0.396312,187.720031
382,aquaculture,,20,4,0.374328,0.392644,289.435021
383,calculate,,9,4,0.371445,0.389254,0
384,pattern,,30,4,0.416335,0.437766,437.470695
385,loss,,55,4,0.440541,0.462786,3596.128232
386,connections,,54,4,0.438999,0.461124,540.635007
387,assessment,,23,5,0.389562,0.410267,228.823128
388,build,,42,4,0.423434,0.445906,805.675644
389,attitude,,36,4,0.41135,0.434011,97.455618
390,response,,23,4,0.410609,0.431918,254.412252
391,trend,,25,4,0.412026,0.433147,309.558746
392,south,,22,4,0.410139,0.431519,92.859921
393,theory,,85,4,0.448177,0.472986,2158.756628
394,variety,,16,4,0.398032,0.418029,120.563858
395,gorge,,21,5,0.364747,0.381758,75.767656
396,preschool,,5,5,0.336283,0.349123,71.937485
397,regions,,35,4,0.417652,0.439361,417.908342
398,review,,59,4,0.433385,0.457004,1622.979582
399,stakeholders,,33,4,0.400831,0.423046,425.159243
400,diaspora,,17,4,0.378566,0.398591,177.640814
401,regression,,36,4,0.405104,0.427632,268.933079
402,sea,,37,4,0.400831,0.424043,452.576931
403,islands,,25,4,0.382259,0.402446,247.756508
404,observations,,18,4,0.413725,0.43431,247.841279
405,attachments,,21,4,0.403995,0.42494,75.531511
406,perspectives,,30,4,0.420382,0.44172,81.563547
407,mpas,,18,4,0.375562,0.394571,125.34147
408,material,,29,4,0.418,0.439294,649.806347
409,reinforce,,11,4,0.395958,0.416135,1.782928
410,preservation,,7,5,0.372328,0.389567,113.162537
411,predator,,19,5,0.37444,0.394983,858.721028
412,preference,,18,4,0.39403,0.414341,26.18271
413,interpretation,,44,4,0.417582,0.440756,719.37079
414,towards,,46,4,0.428059,0.450591,223.453766
415,australia,,38,4,0.409135,0.432317,275.388369
416,position,,23,4,0.410744,0.431951,726.2798
417,homeland,,19,4,0.391997,0.412547,202.143184
418,become,,8,4,0.385846,0.405369,4.951792
419,managers,,35,4,0.412432,0.434975,249.564648
420,attention,,72,4,0.450512,0.473219,1629.698374
421,flower,,6,5,0.33869,0.352479,0
422,composition,,11,5,0.3772,0.395946,23.858599
423,connection,,23,4,0.414408,0.435673,66.740733
424,promote,,26,4,0.415576,0.437101,236.968487
425,performances,,11,4,0.3772,0.396431,608.194803
426,character,,32,4,0.411282,0.433147,3244.56811
427,attribute,,27,4,0.40576,0.42823,572.15816
428,productivity,,29,5,0.371061,0.389999,580.401808
429,office,,19,5,0.365119,0.381858,267.519033
430,function,,56,4,0.435115,0.458134,812.486015
431,england,,21,4,0.412364,0.432881,8.03197
432,voice,,12,4,0.3648,0.382543,168.224964
433,street,,45,4,0.413248,0.437068,6183.003567
434,crisis,,22,4,0.38926,0.410586,118.394283
435,geovisualizations,,19,4,0.375562,0.394471,96.19084
436,roadside,,6,4,0.336599,0.348153,0
437,trip,,13,4,0.377995,0.396332,80.621669
438,interaction,,43,4,0.427112,0.449561,2453.731702
439,mechanism,,26,4,0.392734,0.413942,214.700622
440,machine,,11,4,0.379253,0.398491,9.571922
441,cotton,,4,4,0.339378,0.351276,3.284179
442,acceptance,,3,4,0.353788,0.369119,0
443,topos,,5,5,0.353389,0.369863,0
444,trail,,23,4,0.381503,0.401449,379.829686
445,experts,,21,4,0.377427,0.396963,114.237144
446,vairoma,,24,4,0.362218,0.378323,330.703709
447,travelers,,4,5,0.348333,0.363264,0
448,product,,5,5,0.348575,0.363729,0
449,europe,,22,4,0.418908,0.43956,113.122888
450,identities,,33,4,0.41989,0.441321,754.113011
451,strategies,,57,4,0.43701,0.459895,2007.291075
452,gain,,19,4,0.404712,0.425505,27.779583
453,explore,,45,4,0.437162,0.458333,160.90901
454,index,,26,4,0.392059,0.413211,113.266012
455,restoration,,28,4,0.394961,0.416667,448.101325
456,contamination,,27,4,0.389139,0.410885,733.819043
457,francis,,32,4,0.41108,0.432881,116.639631
458,fish,,9,5,0.364059,0.381194,32.015589
459,film,,21,4,0.390654,0.410985,7844.061188
460,authenticity,,12,4,0.400511,0.42082,0
461,efforts,,12,4,0.40432,0.423943,146.171296
462,window,,15,4,0.355442,0.37098,347.792271
463,scope,,7,5,0.376351,0.394385,39.962941
464,train,,17,5,0.361748,0.378768,3300.069963
465,location,,48,4,0.421583,0.44481,661.937015
466,conflict,,24,4,0.402697,0.423977,796.046264
467,visit,,30,4,0.397716,0.419358,124.913444
468,classroom,,8,5,0.354939,0.369325,0
469,dominate,,5,5,0.377086,0.395315,0
470,outdoors,,18,4,0.359415,0.375299,248.535806
471,grassroots,,6,4,0.348479,0.363038,0
472,notions,,18,4,0.410206,0.430921,52.889728
473,flickr,,7,5,0.366399,0.383287,4.414115
474,tag,,4,5,0.352495,0.369032,0
475,mean,,78,4,0.449382,0.473053,2993.858973
476,relation,,33,4,0.428132,0.449296,1021.474731
477,extent,,14,4,0.399172,0.418627,17.385983
478,emergency,,6,4,0.346361,0.359151,0
479,padm,,5,4,0.3409,0.352738,0
480,norms,,8,4,0.368282,0.386031,23.168381
481,comfort,,17,5,0.387456,0.407509,248.012811
482,child,,18,5,0.375899,0.395315,129.791409
483,shade,,11,5,0.358901,0.374149,22.870643
484,depression,,14,5,0.371611,0.39053,230.770699
485,goals,,26,4,0.39298,0.413975,94.451984
486,cost,,22,4,0.402892,0.424375,92.826337
487,alleys,,3,5,0.358593,0.37508,0
488,neighborhoods,,6,5,0.363584,0.381758,0
489,need,,38,4,0.420876,0.442982,394.269823
490,ecosystems,,8,4,0.374888,0.392909,119.056908
491,generate,,14,4,0.404973,0.425405,41.789894
492,applications,,11,5,0.384781,0.403688,12.559253
493,malaysia,,4,4,0.347224,0.36254,33.042746
494,equation,,28,4,0.393165,0.415039,82.872591
495,user,,15,4,0.376803,0.395235,94.800305
496,integrate,,11,4,0.385727,0.405436,31.282999
497,netherlands,,22,5,0.395334,0.41668,573.742777
498,materials,,9,5,0.391508,0.41133,2.271247
499,ecotourism,,14,4,0.394216,0.414141,3.732192
500,philosophy,,12,4,0.37754,0.397096,66.96995
501,ability,,38,4,0.404647,0.427233,571.000755
502,mechanisms,,17,4,0.397464,0.417896,43.82402
503,greece,,7,4,0.367634,0.38643,28.625988
504,lessons,,4,5,0.318436,0.328489,0
505,woody,,4,5,0.318436,0.328489,0
506,tree,,8,5,0.364006,0.381459,15.850879
507,idea,,9,4,0.36311,0.378954,4.145578
508,basins,,5,5,0.344505,0.356938,0
509,kingdom,,43,4,0.430262,0.45212,1427.553073
510,encounter,,6,5,0.37013,0.387806,5.65887
511,individuals,,38,4,0.418,0.440225,510.951101
512,insights,,53,4,0.441161,0.462952,1207.238652
513,gate,,13,4,0.374272,0.39281,254.879739
514,enhance,,43,4,0.431595,0.453416,136.197504
515,phone,,11,4,0.361383,0.377293,119.311143
516,cohesion,,23,5,0.388536,0.409204,288.941912
517,revisit,,7,5,0.343233,0.355954,0.1
518,ocean,,13,5,0.362585,0.378801,1.238142
519,protection,,34,4,0.409336,0.431685,225.973656
520,ownership,,23,5,0.3772,0.396378,649.31711
521,populations,,18,4,0.392796,0.412846,850.770023
522,emerge,,25,4,0.413725,0.434875,130.739219
523,interest,,63,4,0.437696,0.461623,1479.509383
524,fisheries,,14,4,0.374552,0.392843,36.845211
525,assistance,,5,5,0.36154,0.376907,28.334603
526,respondents,,46,4,0.416473,0.440092,317.669907
527,falkland,,3,4,0.342342,0.353469,0.847581
528,loneliness,,9,5,0.347272,0.362646,0
529,nurse,,9,5,0.347272,0.362646,0
530,refugees,,3,5,0.346648,0.358234,0
531,resettlement,,7,5,0.351901,0.365245,2526.97035
532,territoriality,,10,5,0.364747,0.381526,58.002812
533,name,,30,4,0.414683,0.43637,2648.208844
534,desire,,13,4,0.401473,0.421584,15.498596
535,integration,,24,4,0.390898,0.411317,168.580849
536,principles,,25,4,0.379253,0.399654,394.102455
537,minnesota,,8,4,0.343186,0.355894,108.039231
538,simulations,,6,5,0.357112,0.372222,0
539,czech,,5,5,0.334802,0.348,0.248965
540,head,,3,5,0.314089,0.323259,0
541,violence,,18,4,0.361279,0.377359,1255.045587
542,land-use,,5,4,0.361957,0.376994,0
543,mother,,10,4,0.374217,0.390916,56.251542
544,workspace,,19,5,0.365119,0.381858,267.519033
