Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber
113,factor,,3,38,8,0.296455,0.318875,260.712465,0.009145,0.009145,8,0
125,creation,,3,40,7,0.330935,0.358644,3.829365,0.044002,0.044002,5,0
152,aspects,,3,39,7,0.337408,0.3674,0,0.058686,0.058686,3,0
162,chapters,,3,37,8,0.326627,0.358187,14.830227,0.037193,0.037193,3,0
164,resistance,,3,37,9,0.240838,0.269391,0,0.007997,0.007997,1,0
171,continuity,,3,36,8,0.291755,0.315192,99.657182,0.019523,0.019523,4,0
175,humanist,,3,34,7,0.365079,0.402726,0,0.08114,0.08114,3,0
176,structuralist,,3,34,7,0.365079,0.402726,0,0.08114,0.08114,3,0
179,land,,3,34,7,0.303965,0.327907,0,0.024389,0.024389,5,0
187,interest,,3,35,7,0.340741,0.369815,0,0.066789,0.066789,4,0
188,tourism,,3,34,8,0.153078,0.165053,549,0.000003,0.000003,10,0
203,channel,,3,34,9,0.235696,0.262507,0,0.010517,0.010517,1,0
204,administration,,3,34,9,0.235696,0.262507,0,0.010517,0.010517,1,0
205,rail,,3,34,9,0.235696,0.262507,0,0.010517,0.010517,1,0
206,controllers,,3,34,9,0.235696,0.262507,0,0.010517,0.010517,1,0
207,block,,3,34,9,0.235696,0.262507,0,0.010517,0.010517,1,0
208,strut,,3,34,9,0.235696,0.262507,0,0.010517,0.010517,1,0
23,patient,,2,42,8,0.33253,0.368935,0,0.03987,0.03987,0,0
59,delivery,,2,34,8,0.313993,0.351846,0,0.044861,0.044861,0,0
60,framework,,2,35,7,0.332931,0.359852,0,0.051696,0.051696,3,0
77,endanger,,2,32,8,0.216811,0.23053,0,0.00044,0.00044,8,0
82,heritage,,2,33,5,0.275449,0.29215,2144,0.006405,0.006405,10,0
106,construction,,2,28,7,0.292063,0.320782,163.628644,0.01635,0.01635,10,0
111,prosperity,,2,28,8,0.263108,0.279986,0,0.009248,0.009248,5,0
114,demography,,2,30,8,0.27907,0.299431,0,0.00825,0.00825,8,0
115,develop,,2,28,8,0.27907,0.299431,0,0.00825,0.00825,8,0
116,region,,2,28,8,0.27907,0.299431,0,0.00825,0.00825,8,0
130,deck,,2,27,9,0.240628,0.26758,0,0.004477,0.004477,1,0
131,society,,2,25,8,0.326241,0.356315,0,0.036856,0.036856,3,0
149,center,,2,27,7,0.339483,0.378269,71.45216,0.043769,0.043769,5,0
157,wildlife,,2,27,8,0.216811,0.23053,0,0.00044,0.00044,8,0
165,attitudes,,2,26,2,0.75,0.833333,0,0,0,2,1
166,location,,2,26,2,0.75,0.833333,0,0,0,2,1
167,ideology,,2,26,8,0.2878,0.308911,0,0.01843,0.01843,4,0
168,safety,,2,26,8,0.2878,0.308911,0,0.01843,0.01843,4,0
169,context,,2,26,8,0.2878,0.308911,0,0.01843,0.01843,4,0
170,choice,,2,26,8,0.2878,0.308911,0,0.01843,0.01843,4,0
172,midwives,,2,26,8,0.2878,0.308911,0,0.01843,0.01843,4,0
173,obstetrics,,2,26,8,0.2878,0.308911,0,0.01843,0.01843,4,0
174,childbirth,,2,26,8,0.2878,0.308911,0,0.01843,0.01843,4,0
183,increase,,2,24,8,0.272727,0.294479,0,0.013445,0.013445,3,0
184,attention,,2,24,8,0.325088,0.354563,0,0.034153,0.034153,3,0
191,classroom,,2,22,8,0.313636,0.342728,0,0.029633,0.029633,3,0
193,cities,,2,24,9,0.260377,0.281469,0,0.006037,0.006037,0,0
196,tourist,,2,22,7,0.180157,0.192616,819,0.000038,0.000038,10,0
198,arts,,2,22,8,0.265896,0.285844,0,0.010288,0.010288,6,0
199,industries,,2,22,8,0.265896,0.285844,0,0.010288,0.010288,6,0
212,something,,2,22,8,0.272997,0.290493,0,0.010064,0.010064,5,0
213,system,,2,22,8,0.277387,0.296592,16.955556,0.007768,0.007768,5,0
214,populations,,2,22,8,0.242531,0.257583,0,0.006499,0.006499,7,0
215,modes,,2,22,8,0.242531,0.257583,0,0.006499,0.006499,7,0
216,position,,2,22,8,0.242531,0.257583,0,0.006499,0.006499,7,0
218,associations,,2,22,7,0.315789,0.338716,0,0.031138,0.031138,5,0
219,association,,2,22,7,0.315789,0.338716,0,0.031138,0.031138,5,0
242,discussion,,2,20,8,0.313636,0.342728,0,0.029633,0.029633,3,0
257,grow,,2,20,8,0.337408,0.373525,168.250206,0.037166,0.037166,3,0
54,hollywood,,1,24,7,0.27907,0.301216,0,0.014325,0.014325,5,0
56,participation,,1,23,8,0.313636,0.350035,0,0.029444,0.029444,0,0
67,school,,1,20,8,0.312217,0.339105,0,0.02643,0.02643,3,0
73,create,,1,20,8,0.313636,0.350035,0,0.029444,0.029444,0,0
74,consumer,,1,20,8,0.313636,0.350035,0,0.029444,0.029444,0,0
75,forecast,,1,20,8,0.313636,0.350035,0,0.029444,0.029444,0,0
84,wales,,1,18,7,0.179454,0.188389,0,0.000038,0.000038,10,0
91,concentrate,,1,18,8,0.26186,0.279684,0,0.00699,0.00699,3,0
92,focus,,1,18,8,0.26186,0.279684,0,0.00699,0.00699,3,0
93,stadiums,,1,18,8,0.26186,0.279684,0,0.00699,0.00699,3,0
94,ideas,,1,18,8,0.26186,0.279684,0,0.00699,0.00699,3,0
102,primary,,1,17,8,0.313636,0.350035,0,0.029444,0.029444,0,0
103,accessibility,,1,17,8,0.313636,0.350035,0,0.029444,0.029444,0,0
105,identities,,1,17,7,0.249097,0.264924,0,0.002026,0.002026,10,0
107,curriculum,,1,16,8,0.312217,0.339105,0,0.02643,0.02643,3,0
117,conclude,,1,16,8,0.270588,0.289346,0,0.007722,0.007722,3,0
118,vehicle,,1,16,7,0.249097,0.264924,0,0.002026,0.002026,10,0
119,affinity,,1,16,7,0.249097,0.264924,0,0.002026,0.002026,10,0
120,displacement,,1,16,7,0.249097,0.264924,0,0.002026,0.002026,10,0
121,metaphor,,1,16,7,0.249097,0.264924,0,0.002026,0.002026,10,0
122,feminist,,1,16,7,0.249097,0.264924,0,0.002026,0.002026,10,0
123,worcester,,1,16,7,0.249097,0.264924,0,0.002026,0.002026,10,0
124,massachusetts,,1,16,7,0.249097,0.264924,0,0.002026,0.002026,10,0
126,california,,1,16,7,0.27907,0.301216,0,0.014325,0.014325,5,0
127,knowledge,,1,15,8,0.312217,0.339105,0,0.02643,0.02643,3,0
128,teach,,1,15,8,0.312217,0.339105,0,0.02643,0.02643,3,0
132,model,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
133,wellness,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
134,arise,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
135,widen,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
136,degree,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
137,contribution,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
138,isolate,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
139,area,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
140,charge,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
141,users,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
142,deliver,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
143,network,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
144,argue,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
145,placearticle,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
146,practitioner,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
147,promotion,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
148,department,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
151,review,,1,15,8,0.313636,0.350035,0,0.029444,0.029444,0,0
153,impact,,1,15,8,0.26186,0.279684,0,0.00699,0.00699,3,0
154,football,,1,15,8,0.26186,0.279684,0,0.00699,0.00699,3,0
155,series,,1,15,8,0.237113,0.247559,0,0.002123,0.002123,4,0
158,physicians,,1,15,9,0.241048,0.259911,0,0.002323,0.002323,9,0
160,ssa,,1,15,9,0.241048,0.259911,0,0.002323,0.002323,9,0
163,education,,1,14,8,0.312217,0.339105,0,0.02643,0.02643,3,0
177,text,,1,14,8,0.237113,0.247559,0,0.002123,0.002123,4,0
178,homeland,,1,14,6,0.27112,0.285024,0,0.006367,0.006367,10,0
181,formation,,1,14,7,0.27907,0.301216,0,0.014325,0.014325,5,0
182,account,,1,13,8,0.312217,0.339105,0,0.02643,0.02643,3,0
186,settlements,,1,13,8,0.256267,0.270022,0,0.005445,0.005445,5,0
189,initiatives,,1,12,9,0.13282,0.139959,0,0,0,10,0
190,conference,,1,12,9,0.13282,0.139959,0,0,0,10,0
192,issue,,1,12,8,0.312217,0.339105,0,0.02643,0.02643,3,0
194,plain,,1,12,7,0.315429,0.336905,0,0.025266,0.025266,5,0
195,visitors,,1,12,7,0.179454,0.188389,0,0.000038,0.000038,10,0
197,support,,1,12,7,0.179454,0.188389,0,0.000038,0.000038,10,0
200,humans,,1,12,8,0.252747,0.266399,0,0.005273,0.005273,5,0
201,antiquity,,1,12,1,1,1,0,0,0,11,2
202,prehistory,,1,12,1,1,1,0,0,0,11,2
209,integration,,1,12,7,0.248873,0.261663,0,0.002748,0.002748,8,0
210,europe,,1,12,7,0.248873,0.261663,0,0.002748,0.002748,8,0
211,countryside,,1,12,7,0.315429,0.336905,0,0.025266,0.025266,5,0
217,interaction,,1,12,8,0.26186,0.279684,0,0.00699,0.00699,3,0
220,gay,,1,12,7,0.27907,0.301216,0,0.014325,0.014325,5,0
221,berkeley,,1,12,7,0.27907,0.301216,0,0.014325,0.014325,5,0
222,campus,,1,12,7,0.27907,0.301216,0,0.014325,0.014325,5,0
223,illustrate,,1,11,8,0.312217,0.339105,0,0.02643,0.02643,3,0
224,ways,,1,11,8,0.296774,0.314406,0,0.015093,0.015093,4,0
225,line,,1,11,8,0.312217,0.339105,0,0.02643,0.02643,3,0
226,market,,1,11,8,0.26564,0.284032,0,0.008287,0.008287,6,0
227,evolution,,1,11,7,0.315429,0.336905,0,0.025266,0.025266,5,0
228,growth,,1,11,8,0.270588,0.289346,0,0.007722,0.007722,3,0
229,character,,1,11,7,0.27907,0.301216,0,0.014325,0.014325,5,0
230,image,,1,10,8,0.296774,0.314406,0,0.015093,0.015093,4,0
231,dimension,,1,10,8,0.312217,0.339105,0,0.02643,0.02643,3,0
232,condition,,1,10,8,0.312217,0.339105,0,0.02643,0.02643,3,0
233,emphasis,,1,10,8,0.312217,0.339105,0,0.02643,0.02643,3,0
234,university,,1,10,8,0.312217,0.339105,0,0.02643,0.02643,3,0
235,office,,1,10,9,0.213457,0.229234,0,0.000895,0.000895,1,0
236,park,,1,10,9,0.235294,0.258884,0,0.003583,0.003583,1,0
237,computer,,1,10,9,0.235294,0.258884,0,0.003583,0.003583,1,0
238,frame,,1,10,9,0.213457,0.229234,0,0.000895,0.000895,1,0
239,relationships,,1,10,7,0.315429,0.336905,0,0.025266,0.025266,5,0
240,idea,,1,10,8,0.296774,0.314406,0,0.015093,0.015093,4,0
241,name,,1,10,7,0.315429,0.336905,0,0.025266,0.025266,5,0
243,course,,1,10,8,0.248425,0.262595,0,0.003202,0.003202,3,0
244,fiction,,1,10,8,0.248425,0.262595,0,0.003202,0.003202,3,0
245,colonialism,,1,10,8,0.248425,0.262595,0,0.003202,0.003202,3,0
246,end,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
247,express,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
248,crisis,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
249,diverse,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
250,share,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
251,responsibility,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
252,sustenance,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
253,recognition,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
254,sustain,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
255,scale,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
256,turn,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
258,practice,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
259,address,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
260,geographers,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
261,practitioners,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
262,reconsider,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
263,viewpoints,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
264,redefine,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
265,copyright,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
266,wiley,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
267,blackwell,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
268,reservedaustralia,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
269,organization,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
270,management,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
271,team,,1,10,8,0.313636,0.350035,0,0.029444,0.029444,0,0
272,interdependence,,1,10,8,0.270588,0.289346,0,0.007722,0.007722,3,0
273,future,,1,10,8,0.270588,0.289346,0,0.007722,0.007722,3,0
274,economies,,1,10,8,0.270588,0.289346,0,0.007722,0.007722,3,0
275,age,,1,10,7,0.249097,0.264924,0,0.002026,0.002026,10,0
276,tension,,1,10,7,0.249097,0.264924,0,0.002026,0.002026,10,0
277,feminism,,1,10,7,0.249097,0.264924,0,0.002026,0.002026,10,0
278,gender,,1,10,7,0.249097,0.264924,0,0.002026,0.002026,10,0
279,article,,1,10,9,0.219222,0.23008,0,0.001093,0.001093,7,0
280,river,,1,10,8,0.216641,0.228718,0,0.000406,0.000406,8,0
281,basin,,1,10,8,0.216641,0.228718,0,0.000406,0.000406,8,0
282,preserve,,1,10,8,0.216641,0.228718,0,0.000406,0.000406,8,0
283,female,,1,10,9,0.241048,0.259911,0,0.002323,0.002323,9,0
